0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:32:05 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 6300
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:35:18 +0900] "GET /fin/board HTTP/1.1" 200 17010
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:35:18 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:36:17 +0900] "GET /fin/board HTTP/1.1" 200 17010
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:36:17 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:38:44 +0900] "GET /fin/board HTTP/1.1" 200 17010
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:38:44 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:44:36 +0900] "GET /fin/board HTTP/1.1" 200 17010
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:44:36 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 6384
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:45:14 +0900] "GET /fin/board HTTP/1.1" 200 17010
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:45:14 +0900] "GET /fin/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:45:14 +0900] "GET /fin/resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:45:14 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:45:14 +0900] "GET /fin/resources/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:11:45:14 +0900] "GET /fin/resources/js/footer.js HTTP/1.1" 304 -
